ESPÉCIE,AUTOR,NOME_VULGAR,LINK,SINONIMIA_BOTANICA,FAMILIA,FORMA_BIOLOGICA,FLORESTA_OMBROFILA_DENSA,FLORESTA_OMBROFILA_ABERTA,FLORESTA_OMBROFILA_MISTA,FLORESTA_ESTACIONAL_SEMIDECIDUAL,FLORESTA_ESTACIONAL_DECIDUAL,SISTEMA_EDAFICO_PRIMEIRA_OCUPACAO,VEGETACAO_INFLUENCIA_MARINHA,VEGETACAO_INFLUENCIA_FLUVIOMARINHA,VEGETACAO_INFLUENCIA_FLUVIAL,CAMPOS_RUPESTRES,SASV,AREAS_ANTROPIZADAS,OBSERVACAO_SOLO,TEXTURA_CASCALHO,TEXTURA_ARENOSO,TEXTURA_MEDIO,TEXTURA_ARGILOSO,FERTILIDADE_ALTA,FERTILIDADE_BAIXA,BEM_DRENADO,MAL_DRENADO,MODERADAMENTE_DRENADO,SUJEITO_ALAGAMENTO,RASO_CASCALHO,RASO_ROCHA,PROFUNDO,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PE,PI,PB,PR,RJ,RN,RO,RR,RS,SE,SC,SP,TO,TOL_SOMBRA,ESTRATEGIA_OCUPACAO,PERSISTENCIA_FOLHAGEM,PERIODO_FLORACAO,PERIODO_FRUTIFICACAO,PERIODO_COLETA_SEMENTE,ANIMAL_ATRAIDO,ATRATIVO,TIPO_INTERACAO,ESTRATEGIA_DISPERSAO,COLETA_PROCESSAMENTO,SEMENTE_P_KG,PESO_FRESCO,CONDICOES_ARMAZENAMENTO,PRAZO_ARMAZENAMENTO,TOL_DESSECACAO,TOL_FRIO,TIPO_DORMENCIA,TRAT_GERMINACAO,PADRONIZACAO,LENTO,RAPIDO,MUITO_RAPIDO,ALTURA_MEDIA,TEMPO_MEDIO_PLANTIO,DESENVOL_MUDA_CAMPO,FBN,USO_ALIMENTACAO,USO_ARTESANATO,USO_AROMATICO,USO_CORT,USO_COND,USO_COSMETICO,USO_FORRAGEM,USO_FIBRAS,USO_LATEX,USO_MADEIRA,USO_MEDICINAL,USO_MELIFERA,USO_OLEO,USO_ORNAMENTAL,USO_RESINA,USO_RAD,USO_TANINO,USO_TINTURA,USO_TOXICO,REFERENCIA,REFERENCIA1,REFERENCIA2,REFERENCIA3,REFERENCIA4,AMEACADO
Blepharocalyx salicifolius,(Kunth) O.Berg,"Murta, vassourinha, guabiroba",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232489/1/Especies-Arboreas-Brasileiras-vol-2-Murta.pdf,Blepharocalyx salicifolius var. longipes (O.Berg) D.Legrand; Blepharocalyx tweediei var. longipes (O.Berg) Mattos; Blepharocalyx tweediei var. septentrionalis Mattos; Blepharocalyx sessilifolius var. pauciflorus O.Berg; Blepharocalyx sessilifolius var. pluriflorus O.Berg; Blepharocalyx acuminatus var. adamantium (Cambess.) Mattos; Blepharocalyx apiculatus var. rubellus O.Berg; Blepharocalyx apiculatus var. strictus O.Berg; Blepharocalyx giganteus var. montanus (Lillo) Lillo; Blepharocalyx lanceolatus var. arborescens O.Berg; Blepharocalyx lanceolatus var. frutescens O.Berg; Blepharocalyx ramosissimus var. latifolius O.Berg; Blepharocalyx ramosissimus var. nanus O.Berg; Blepharocalyx ramosissimus var. obovatus O.Berg; Blepharocalyx suaveolens var. abrupticulmeus D.Legrand; Blepharocalyx suaveolens var. cuneatus D.Legrand; Blepharocalyx suaveolens var. umbilicatus (Cambess.) D.Legrand; Blepharocalyx salicifolius var. tweediei (Hook. & Arn.) D.Legrand; Blepharocalyx umbilicatus var. mugiensis (Cambess.) Mattos; Blepharocalyx umbilicatus var. paranaensis Mattos; Blepharocalyx villosus var. triflorus O.Berg; Myrtus apiculata var. microphylla Kiaersk.; Blepharocalyx suaveolens var. abrupticulmen D. Legrand; Myrcianthes cisplatensis var. angustifolia Cambess.; Myrcianthes cisplatensis var. brevipedunculata Cambess.; Blepharocalyx picrocarpus O.Berg; Blepharocalyx minutiflorus Mattos & D.Legrand; Blepharocalyx angustifolius O.Berg; Blepharocalyx lanceolatus O.Berg; Blepharocalyx ramosissimus O.Berg; Blepharocalyx acuminatissimus (Miq.) O.Berg; Blepharocalyx affinis O.Berg; Blepharocalyx amarus O.Berg; Blepharocalyx canescens O.Berg; Blepharocalyx cisplatensis Griseb.; Blepharocalyx cuspidatus O.Berg; Blepharocalyx deserti (Cambess.) Burret; Blepharocalyx longipes O.Berg; Blepharocalyx montanus Lillo; Blepharocalyx parvifolius O.Berg; Blepharocalyx pilosus O.Berg; Blepharocalyx serra O.Berg; Blepharocalyx sessilifolius O.Berg; Blepharocalyx widgrenii O.Berg; Blepharocalyx umbilicatus (Cambess.) Burret; Blepharocalyx suaveolens (Cambess.) Burret; Blepharocalyx angustissimus O.Berg; Blepharocalyx acuminatus O.Berg; Blepharocalyx tweediei (Hook. & Arn.) O.Berg; Blepharocalyx giganteus Lillo; Blepharocalyx villosus O.Berg; Blepharocalyx strictus O.Berg; Eugenia adamantium Cambess.; Eugenia decumbens Cambess.; Eugenia depauperata Cambess.; Eugenia ipehuensis Barb.Rodr. ex Chodat & Hassl.; Eugenia mugiensis O.Berg; Eugenia suaveolens Cambess.; Myrciaria angustifolia (O.Berg) Mattos; Myrtus dumosa Spreng.; Myrciaria dichotoma D.Legrand; Myrciaria deserti (Cambess.) O.Berg; Myrciaria piedadensis (Kiaersk.) Mattos & D.Legrand; Myrciaria brevipedunculata (O.Berg) Mattos; Myrtus angustissima (O.Berg) Arechav.; Myrtus apiculata (O.Berg) Kiaersk.; Myrtus amara (O.Berg) Arechav.; Myrtus angustifolia (O.Berg) Arechav.; Myrtus brunnea (O.Berg) Kiaersk.; Myrtus lanceolata (O.Berg) Arechav.; Myrtus salicifolia Kunth; Myrtus reinhardtiana Kiaersk.; Myrtus stricta (O.Berg) Arechav.; Myrtus widgrenii (O.Berg) Kiaersk.; Myrtus umbilicata Cambess.; Pseudomyrcianthes adamantium (Cambess.) Kausel; Blepharocalyx apiculatus O.Berg; Blepharocalyx mugiensis (Cambess.) Burret; Myrcia mugiensis Cambess.; Myrtus longipes (O.Berg) Kiaersk.; Aulomyrcia mugiensis (Cambess.) O.Berg; Blepharocalyx depauperatus (Cambess.) O.Berg; Eugenia piedadensis Kiaersk.; Eugenia deserti Cambess.; Heteromyrtus umbilicata (Cambess.) Blume; Blepharocalyx brunneus O.Berg; Eugenia tweediei Hook. & Arn.; Blepharocalyx sessilifolius var. paucifolorus O.Berg; Blepharocalyx lanceolatus O.Berg var. lanceolatus; Blepharocalyx villosus var. uniflorus O.Berg,Myrtaceae,"Árvore, arbusto",1,0,0,1,1,0,1,0,0,1,0,1,"Ocorre em solos compactados, Litossolos e em solos de aclive suave com drenagem lenta.",-,-,-,-,-,-,0,1,0,0,-,-,-,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,perenifólia,dez-jan.,"nov-abr (SP), mar-mai (RS)",-,aves,frutos,dispersão,zoocórica,"Os frutos podem ser coletados com o uso de podão. É necessário friccionar os frutos em uma peneira em água corrente para retirada da polpa. Em seguida, as sementes devem ser secas à sombra em ambiente ventilado.",55000-64257,-,recalcitrante,< 20 dias,0,1,-,não é necessário,regular,1,0,0,15-20 m,-,-,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,"CARVALHO, P. E. R. Espécies arbóreas brasileiras. Coleção Espécies Arbóreas Brasileiras, vol.2. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2006. 386p","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol 2 – 3. ed. Nova Odessa, SP. 244p.","Vasconcelos, T.N.C.; Proença, C.E.B. Blepharocalyx in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB10262>. Acesso em: 19 jun. 2022",,,LC
Bowdichia virgilioides,Kunth,Sucupira; Sucupira-mirim; Sucupira-verdadeira; Sucupira-do-campo; Sucupira-preta,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232405/1/Especies-Arboreas-Brasileiras-vol-2-Sucupira.pdf,Bowdichia virgilioides var. glabrata Benth.; Bowdichia densiflora Benth.; Bowdichia brevipes Benth.; Bowdichia virgilioides var. tomentosa Pilger; Bowdichia virgilioides f. villosa Yakovlev; Bowdichia pubescens Benth.; Bowdichia parvifolia Gleason; Sebipira ferruginea Vogel; Sebipira virgilioides (Kunth) Lyons; Sebipira major Mart.; Bowdichia virgilioides var. major (Mart.) Benth.; Bowdichia virgilioides f. major (Mart.) Yakovlev; Bowdichia floribunda Benth.,Fabaceae,Arbusto/Árvore,1,0,0,1,0,1,1,0,1,0,0,0,"Apresenta tolerância a solos secos, de fertilidade química baixa e com textura arenosa.",0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,não,diversidade,Caducifólia,Jun-Ago(MS); Jun-Set(SP); Jul-Ago(GO); Set-Dez(MG/PE); Out-Dez (BA/SE),Set-Out(MS); Out-Nov(SP); Dez-Mar (SE); Jan-Fev(ES); Jan-Abr(PE),-,-,-,-,anemocórica,"Os frutos devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea; Em seguida, devem ser expostos ao sol, para secar, o que facilitará abertura e a retirada das sementes.",39500,"25,32","As sementes apresentam o comportamento ortodoxo quanto ao armazenamento. Sementes com 85% de germinação inicial, quando armazenadas após secagem a 5°C e a -18°C, apresentaram, respectivamente, 88% e 87% de germinação.",-,sim,sim,Tegumentar,Recomenda-se escarificação química em ácido sulfúrico concentrado por 2 a 10 min.,Boa,0,1,0,-,5,moderado,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,"(CARVALHO,2006)",http://reflora.jbrj.gov.br/,,,,DD
Brosimum gaudichaudii,Trécul,"Mama-cadela, apê, algodãozinho",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232112/1/Especies-Arboreas-Brasileiras-vol-5-Mama-Cadela.pdf,Brosimum glaucifolium Ducke,Moraceae,"Árvore, arbusto",0,0,0,0,0,0,0,0,0,0,0,1,-,0,1,1,1,1,0,1,0,0,0,-,-,-,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,-,-,perenifólia,ago-nov,out-jan.,-,raposa-do-campo,frutos,dispersão,zoocórica,"Os frutos podem ser coletados diretamente da árvore ou do chão, quando apresentarem coloração amarela. Após, devem ser colocados em sacos até a polpa se decompor, assim facilitando a extração das sementes.",570-600,-,recalcitrante,curto período,0,1,-,não é necessário,regular,1,0,0,4-10m,5-7 meses,lento,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 338p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol 2 – 3. ed. Nova Odessa, SP. 236p.","Ribeiro, J.E.L.S.; Pederneiras, L.C. Brosimum in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB19772>. Acesso em: 18 jun. 2022",,,NE
Butia eriospatha,(Mart. ex Drude) Becc.,"Butiá-da-Serra, butiazeiro, butiá-azedo",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232054/1/Especies-Arboreas-Brasileiras-vol-5-Butia-da-Serra.pdf,Butia punctata Bomhard; Syagrus eriospatha (Mart. ex Drude) Glassman; Cocos eriospatha Mart. ex Drude; Calappa eriospatha (Mart. ex Drude) Kuntze,Arecaceae,Palmeira,0,0,0,0,0,0,0,0,0,0,0,0,Ocorre em solos rasos com textura sílico-argilosa. Desenvolve-se bem em relevo forte ondulado.,0,0,1,0,1,1,-,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,sim,-,perenifólia,out-jan.,jan.-mar,-,Pássaros,frutos,dispersão,zoocorica,Colher os frutos quando maduros e as sementes podem ser extraídas manualmente.,200 - 450,-,-,> 1 ano,-,1,não apresenta dormência,"não é necessário, porém para uma germinação mais uniforme é recomendado a remoção do endocarpo e imersão em água",ruim,1,0,0,4-6 m,12 meses,ruim,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 5.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014. 169p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 1 – 3. ed. Nova Odessa, SP. 276p.","Heiden, G.; Sant'Anna-Santos, B.F. Butiá in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB26574>. Acesso em: 08 jun. 2022",,,VU
Byrsonima crispa,A.Juss.,Murici; Muruci-da-mata,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,,Malpighiaceae,Árvore,1,0,0,0,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,-,-,-,dezembro - abril,fevereiro - maio,janeiro - maio,-,-,-,zoocórica,-,-,-,-,-,-,-,-,-,regular,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"LIMAet al.,2011","ALVINOet al., 2005","SCHWARTZ, 2007",,,DD
Byrsonima sericea,DC.,Murici; muruci-da-mata,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231956/1/Especies-Arboreas-Brasileiras-vol-3-Murici.pdf,,Malpighiaceae,Árvore,1,0,0,0,0,0,0,0,1,0,0,0,tem preferência pelos solos vermelhos e argilosos que conservem boa umidade mais que não fiquem encharcados,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,não,recobrimento,,dezembro - abril,fevereiro - maio,janeiro - maio,-,-,-,zoocórica,-,-,-,perdem o poder germinativo muito rapidamente (2 meses),-,-,-,-,-,boa,0,1,0,-,4 a 5,rápido,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"LIMAet al.,2011","ALVINOet al., 2005","SCHWARTZ, 2007",,,DD
Cabralea canjerana,(Vell.) Mart.,Canjerana,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231694/1/Especies-Arboreas-Brasileiras-vol-1-Canjarana.pdf,Cabralea laevis C.DC.; Cabralea lacaziana Rizzini; Cabralea glaberrima A.Juss.; Cabralea burchellii C.DC.; Cabralea pilosa C.DC.; Cabralea lagoensis C.DC.; Cabralea cangerana Saldanha; Cabralea multijuga C.DC.; Cabralea warmingiana C.DC.; Cabralea lundii C.DC.; Cabralea sulcata C.DC.; Cabralea pallescens C.DC.; Cabralea silvatica C.DC.; Cabralea riedelii C.DC.; Cabralea pedunculata C.DC.; Cabralea corcovadensis C.DC.; Cabralea jussiaeana C.DC.; Cabralea gaudichaudii C.DC.; Cabralea eichleriana C.DC.; Cabralea estrellensis C.DC.; Cabralea macrophylla Fenzl ex C. de Candolle,Meliaceae,Árvore,0,1,1,0,0,0,0,0,0,0,0,0,"Ocorre em vários tipos de solos, de fertilidade química boa aos de fertilidade baixa. Contudo, apresenta melhor crescimento em solo fértil, com propriedades físicas adequadas, como profundo, com boa disponibilidade hídrica, boa drenagem e textura argilosa e areno-argiloso.",0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,sim,diversidade,Perenifólia,setembro - outubro,agosto - outubro,agosto - novembro,-,-,-,zoocórica,Colher os frutos  quando iniciarem a abertura espontânea. Em seguida levá-los ao sol para completar a abertura e liberação das sementes.,"1,2","833,33","Câmara fria ,em embalagem de vidro hermética,",45 dias,Não,Não,-,Remoção da polpa e Lavagem em água corrente.,ruim,1,0,0,30-40,6,lento,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,"FOWLER & MARTINS, 2001","CAPPELATTI & SCHIMITTI, 2009",Dormência em sementes florestais,"FELFILIet al., 2000","SANQUETTAet al., 2010",DD
Calophyllum brasiliense,Cambess.,Guanandi; Jacareúba; Landim,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231707/1/Especies-Arboreas-Brasileiras-vol-1-Guanandi.pdf,Calophyllum angulare A.C.Sm.; Calophyllum lucidum Benth.,Calophyllaceae,Árvore,1,0,0,0,0,0,1,0,0,0,0,0,"Ocorre em solos aluviaia com drenagem deficiente, em locais úmidos periodocamente inundáveis e brejosos, com textura arenosa a franca.",0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,indiferente,diversidade,Perenifólia,Set a Out - dezembro (DF); Nov a Jun  - dezembro(SP); Dez - dezembro (PB); Jan a mar -dezembro  (PR).,janeiro - agosto,abril - junho,-,-,-,,"Se dá por maceração, para remover o epicarpo e mesocarpo do fruto.",750,"1.333,33",,8 meses,Não,Não,tegumentar,Escarificação mecânica ou estratificação em área úmida por 60 dias.,regular,0,1,1,30-40,2,lento,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,PEREIRAet al. 2008,"CAPPELATTI & SCHIMITTI, 2009","CARVALHO, 2003",EFEITO DA TEMPERATURA E DO TEGUMENTO NA GERMINAÇÃO DE,,DD
Campomanesia aurea,O.Berg,Guabiroba-do-campo,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Campomanesia cyanea var. ovata O.Berg; Campomanesia cyanea var. cordata O.Berg; Campomanesia cyanea O.Berg; Campomanesia hatschbachii Mattos; Campomanesia gracilis Kausel; Campomanesia gardneriana O.Berg; Campomanesia maracayuensis Barb.Rodr. ex Chodat & Hassl.,Myrtaceae,Arbusto,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-,-,-,novembro- dezembro,junho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.ufrgs.br/fitoecologia/florarDDndex.php?pag=buscar_mini.php&especie=581,,,,,DD
Campomanesia guaviroba,(DC.) Kiaersk.,Guaviroveira-de-porco,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231867/1/Especies-Arboreas-Brasileiras-vol-4-Guaviroveira-de-Porco.pdf,Abbevillea cerasoides (Cambess.) O.Berg; Abbevillea fenzliana var. intermedia O.Berg; Abbevillea fenzliana var. longipes O.Berg; Abbevillea fenzliana var. obversa O.Berg; Abbevillea klotzschiana var. laurifolia O.Berg; Abbevillea klotzschiana var. intermedia O.Berg; Abbevillea klotzschiana var. longipes O.Berg; Abbevillea maschalantha var. oblongata O.Berg; Abbevillea maschalantha var. recurvata O.Berg; Campomanesia guaviroba var. insulae D.Legrand; Campomanesia guaviroba var. itatiaiae D.Legrand; Abbevillea fenzliana var. intermaedia O.Berg; Abbevillea klotzschiana var. intermaedia O.Berg; Abbevillea guaviroba (DC.) O.Berg; Abbevillea maschalantha O.Berg; Abbevillea punctulata (DC.) O.Berg; Abbevillea klotzschiana O.Berg; Abbevillea sellowiana O.Berg; Abbevillea fenzliana O.Berg; Campomanesia cerasoides (Cambess.) A.Gray; Campomanesia dulcis (Vell.) J.F.Macbr.; Campomanesia maschalantha (O.Berg) Kiaersk. ex Engl. & Prantl; Campomanesia punctulata (DC.) Mattos & D.Legrand; Campomanesia stictopetala Kiaersk.; Psidium cerasoides Cambess.; Psidium dulce Vell.; Psidium guaviroba DC.; Psidium punctulatum DC.; Abbevillea fenzliana var. brevipes O.Berg; Abbevillea maschalantha var. ovata O.Berg,Myrtaceae,Árvore,1,0,1,1,0,0,0,0,0,0,0,0,Ocorre em terrenos mediamente ondulados com solos de origem basáltica.,-,-,-,-,1,0,0,0,1,0,-,-,-,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,-,-,perenifólia,out-nov.,dez-jan.,-,"macaco-bugio, guariba",fruto,dispersão,zoocórica,"O fruto é colhido diretamente do solo. Após, é esmagado e lavado em peneira fina para separação das sementes. As sementes devem ficar na sombra por 1 dia",7400-20740,"48,22 g",recalcitrante,curto período,-,1,-,não é necessário,bom,0,1,0,4-12m,5 meses,rápido,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 281p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 3 – 2. ed. Nova Odessa, SP. 237p","Oliveira, M.I.U.; Costa, I.R.; Proença, C.E.B. Campomanesia in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB10315>. Acesso em: 17 jun. 2022",,,NE
Campomanesia guazumifolia,(Cambess.) O.Berg,Guamirim-araçá; Guamirim-chorão; Brasa-viva,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231929/1/Especies-Arboreas-Brasileiras-vol-3-Sete-capotes.pdf,Psidium guazumifolium var. griseum Cambess.; Campomanesia guazumifolia var. grisea (Cambess.) O.Berg; Campomanesia guazumaefolia var. grisea (Cambess.) O.Berg; Campomanesia guazumaefolia var. rubignosa (Cambess.) O.Berg; Abbevillea rugosa O.Berg; Britoa guazumifolia (Cambess.) D.Legrand; Britoa sellowiana O.Berg; Campomanesia itanarensis Kiaersk.; Campomanesia albiflora Rojas Acosta; Lacerdaea luschnathiana O.Berg; Psidium guazumifolium Cambess.; Britoa hassleriana Barb.Rodr. ex Chodat & Hassl.; Campomanesia guazumifolia var. rubiginosa O.Berg,Myrtaceae,Árvore,1,0,1,1,0,0,0,0,0,0,0,0,"Tolera solos predegosos, desde que tenham um razoável teor de matéria orgânica.",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,sim,,Caducifólia,outubro - novembro,dezembro - março,março - maio,-,-,-,zoocórica,"Despolpá-los manualmente em água corrente dentro de uma peneira. Após a separação das sementes, deixá-las secar à sombra",22,"45,45",Sala de laboratório em embalagem de vidro,3 meses,-,-,-,-,ótima,1,0,0,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"LIEBSCH & SANDRA, 2009","FOWLER & MARTINS, 2001.","BOTRELet al., 2006","FUNDAÇÃO FLORESTAL, 2008","SANQUETTAet al., 2010",DD
Campomanesia pubescens,(Mart. ex DC.) O.Berg,Gabiroba,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Campomanesia discolor var. alternifolia O.Berg; Campomanesia discolor var. oppositifolia O.Berg; Campomanesia discolor var. paranensis (D.Legrand) Mattos; Campomanesia fusca var. erosa (Miq.) O.Berg; Campomanesia fusca var. integra O.Berg; Campomanesia fusca var. stricta O.Berg; Campomanesia fusca var. subtriflora O.Berg; Campomanesia obversa var. angustifolia O.Berg; Campomanesia obversa var. latifolia O.Berg; Campomanesia obversa var. perforata O.Berg; Campomanesia ovalifolia var. venulosa O.Berg; Campomanesia salviifolia var. latifolia O.Berg; Campomanesia pubescens var. coarctata O.Berg; Campomanesia pubescens var. effusa O.Berg; Campomanesia salviaefolia var. angustifolia O.Berg; Campomanesia salviaefolia var. latifolia O.Berg; Abbevillea widgreniana (O.Berg) O.Berg; Britoa eriantha (Cambess.) O.Berg; Campomanesia bracteolata Kiaersk.; Campomanesia fusca O.Berg; Campomanesia diversifolia Barb.Rodr.; Campomanesia dimorpha O.Berg; Campomanesia hassleri Barb.Rodr.; Campomanesia heterophylla O.Berg; Campomanesia houlletii O.Berg; Campomanesia eriantha (Cambess.) Blume ex B.D.Jacks.; Campomanesia gomesiana Handro & Mattos; Campomanesia corymbosa (Cambess.) O.Berg; Campomanesia discolor O.Berg; Campomanesia cuneata O.Berg; Campomanesia paranensis D.Legrand; Campomanesia pohliana O.Berg; Campomanesia rhytidophylla O.Berg; Campomanesia rugosa O.Berg; Campomanesia suaveolens (Cambess.) O.Berg; Campomanesia trichosepala Barb.Rodr.; Campomanesia yerutiensis Barb.Rodr. ex Chodat & Hassl.; Campomanesia warmingiana Kiaersk.; Campomanesia salviifolia O.Berg; Campomanesia ovalifolia O.Berg; Campomanesia widgreniana O.Berg; Campomanesia reticulata O.Berg; Psidium corymbosum Cambess.; Psidium erianthum Cambess.; Psidium erosum Miq.; Psidium suaveolens Cambess.; Campomanesia campestris O.Berg; Campomanesia australis O.Berg; Campomanesia obversa (Miq.) O.Berg; Psidium pubescens Mart. ex DC.; Campomanesia erosa (Miq.) Govaerts; Campomanesia affinis O.Berg; Campomanesia apiculata Barb.Rodr. ex Chodat & Hassl.; Campomanesia lanceolata O.Berg; Campomanesia virescens O.Berg; Psidium obversum Miq.; Campomanesia salviifolia var. angustifolia (Miq.) O.Berg; Campomanesia pubescens var. coarctata (Mart. ex DC.) O.Berg; Campomanesia salviaefolia O.Berg,Myrtaceae,Árvore,0,0,0,1,0,0,0,0,0,0,0,1,"Solos profundos de drenagem rápida, com constituição argilosa ou arenosa e até pedregoso.",1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,sim,diversidade,Caducifólia,setembro a novembro,novembro a janeiro,Novembro a Janeiro,-,-,-,zoocórica,"Coletar os frutos de coloração verde-amarelada direto da árvore, com podão, quando outros frutos da árvore já tiverem começado a cair. Esfregar os frutos em peneira sob água corrente e separação das sementes.",13000,"76,92",As sementes tem comportamento recalcitrante ao armazenamento.,< 6 meses,não,não,sem dormência,não há necessidade,regular,1,0,0,-,-,lento,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,,,,,,DD
